caption,likesCount,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,locationId,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,commentsCount,ownerFullName,url,inputUrl,ownerUsername
"⭐ New in the M&S Foodhall

Our shelves in the #biscuit aisle are stacked... and your cravings are about to be satisfied! All, baked for a satisfyingly crunchy texture and perfect for dunking in your cuppa. ☕

Come find your new fave in your local M&S Foodhall or via the link in bio. 

#MandSCy #Symeonides #thisisnotjust",8,biscuit,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJ395S-Ri_Q/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencer_symeonides
"Je jedno jestli ovocný, bylinný, černý, zelený nebo kořeněný. Čaj u nás milujeme v jakékoli podobě. 

Dnes je skvělá příležitost dopřát si svůj oblíbený šálek. Tento hřejivý nápoj má totiž dnes svůj svátek – slaví se totiž Mezinárodní den čaje!  Tak na zdraví. 

#marksandspenerczechrepublic #marksandspencerceskarepublika #mezinarodnidencaje #fairtrade #fairtradecaj #thisisnotjust #marksandspencerpotraviny",18,marksandspenerczechrepublic,marksandspencerceskarepublika,mezinarodnidencaje,fairtrade,fairtradecaj,thisisnotjust,marksandspencerpotraviny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M&S Czech Republic,https://www.instagram.com/p/DJ3qAqNgZwV/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerczechrepublic
"Tonight on the menu: Mongolian stir-fried beef mince with fried egg and steamed rice, courtesy of @MarkMoriarty1.

 Catch Cook Like a Chef with Mark Moriarty in partnership with @mandsireland every Wednesday at 8pm on RTÉ One.

#MyMarksFave #ThisIsNotJust",45,MyMarksFave,ThisIsNotJust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MarkMoriarty1.,mandsireland,,,,,0,M&S Ireland,https://www.instagram.com/p/DJuO3rTNQWL/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerireland
"A swirl of yoghurt, a sprinkle of crunch, and your favourite #frozenfruits! 
Discover a colourful fruit medley of juicy mango, plump blueberries, and ripe raspberries, perfect for chia puddings, yoghurt parfaits (and more!) in your local M&S Foodhall or via the link in bio. 
#MandSCy #Symeonides #thisisnotjust",6,frozenfruits!,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJn32fJCZGq/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencer_symeonides
"You need these cookie dunkers in your life marksandspencerfood 

#cosy #hotchocolate #cookies #dunk #biscuit #dunking #cosyvibes #chocolate #hotelchocolat #foodie #hotdrink #mymarks #thisisnotjust #cookiedunkers #maltedmilk #new #relaxed #cosynights #coffee #tea #yum #nifoodblogger #belfastblogger #nibloggers #nifoodie #foodstagram",,cosy,hotchocolate,cookies,dunk,biscuit,dunking,cosyvibes,chocolate,hotelchocolat,foodie,hotdrink,mymarks,thisisnotjust,cookiedunkers,maltedmilk,new,relaxed,cosynights,coffee,tea,yum,nifoodblogger,belfastblogger,nibloggers,nifoodie,foodstagram,,,,,,,,,,,,0,Ibtihal Morales,https://www.instagram.com/p/DJm4YIisdV5/,https://www.instagram.com/explore/tags/ThisIsNotJust,belfastfoodies
"Dnešní den patří ženám, které s námi byly u prvních slov, prvních krůčků i prvních přípitků. ❤️

Dnes patří všechny přípitky jim – maminkám. Na zdraví! 

#marksandspencerczechrepublic #marksandspencerceskarepublika #denmatek #denmatekdarek #thisisnotjust #marksandspencerpotraviny",128,marksandspencerczechrepublic,marksandspencerceskarepublika,denmatek,denmatekdarek,thisisnotjust,marksandspencerpotraviny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,M&S Czech Republic,https://www.instagram.com/p/DJgGpFnMbWG/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerczechrepublic
"Jak začít Světový den pro fair trade? Přece šálkem kávy nebo čaje od certifikovaných famářů.♻️

Podporujeme spravedlivý obchod, proto si dáváme záležet, aby naše kávová zrna a čajové lístky pocházeli z oveřených a férových zdrojů. 

#marksandspencerceskarepublika #marksandspencerczechrepublic #marksandspencerpotraviny #thisisnotjust #fairtrade #spravedlivyobchod",33,marksandspencerceskarepublika,marksandspencerczechrepublic,marksandspencerpotraviny,thisisnotjust,fairtrade,spravedlivyobchod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,M&S Czech Republic,https://www.instagram.com/p/DJdh1Y6RxCM/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerczechrepublic
"Bring the heat to BBQ season 

It’s the Grill trio you never knew you needed to spice up the summer season, and here are the 3 reasons your BBQ just levelled up… 

  Smashed Burgers – perfectly seasoned with cracked black pepper and sea salt. Get these thin, juicy patties onto a sizzling hot griddle to get
that irresistible, caramelised crust and stack up those buns! 

 Our Best Ever Posh Dogs – an elevated, classic recipe made with cherrywood smoked pork shoulder and an American-style smoky seasoning
blend. Enjoy with lashings of ketchup and mustard for the ultimate comfort bite in every mouthful  

 Nduja King Prawn Skewers – specially selected for succulence and smothered in a hot and smoky Italian nduja paste with chilli, garlic and paprika.

Summer has never tasted so good ☀️

Find our Grill range in your local M&S Foodhall 

#thisisnotjust",24,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M&S Ireland,https://www.instagram.com/p/DJcDq-1NR_W/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencerireland
New Finds!  At M&S @marksandspencerfood #mandsfood #thisisnotjust #cake #truffles #chocolate #wellthisisnew,166,mandsfood,thisisnotjust,cake,truffles,chocolate,wellthisisnew,,,,,,,,,,,,,,,,,,,,,,,,,,marksandspencerfood,,,,,,2,Well This Is New,https://www.instagram.com/p/DJbFOhKInh_/,https://www.instagram.com/explore/tags/ThisIsNotJust,_well_this_is_new_
"⭐ New in the M&S Foodhall - let’s get the BALL rolling on brain health 

Our brilliant new mixed berry and almond butter Brain Food Brain Ball is here!

High in iron, zinc and vitamin B12, this tasty on-the-go snack provides at least 30% of the RNI of these essential brain-health nutrients in one go. 

Find it in your local M&S Foodhall or via the link in bio NOW! 

*Best enjoyed as part of a healthy lifestyle & a balanced, varied diet. High in iron and zinc, which contribute to normal cognitive function.*

#MandSCy #Symeonides #thisisnotjust",6,MandSCy,Symeonides,thisisnotjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symeonides Fashion House,https://www.instagram.com/p/DJa_07fiByO/,https://www.instagram.com/explore/tags/ThisIsNotJust,marksandspencer_symeonides
